date,Bermuda,Cayman Islands,Chile,Gibraltar,Israel,Monaco,Seychelles,United Arab Emirates
2020-12-13,,,,,,,,
2020-12-14,,,,,,,,
2020-12-15,,,,,,,,
2020-12-16,,,,,,,,
2020-12-17,,,,,,,,
2020-12-18,,,,,,,,
2020-12-19,,,,,,,,
2020-12-20,,,,,,,,
2020-12-21,,,,,,,,
2020-12-22,,,,,,,,
2020-12-23,,,,,,,,
2020-12-24,,,,,,,,
2020-12-25,,,,,,,,
2020-12-26,,,,,,,,
2020-12-27,,,,,,,,
2020-12-28,,,,,,,,
2020-12-29,,,,,,,,
2020-12-30,,,,,,,,
2020-12-31,,,,,,,,
2021-01-01,,,,,,,,
2021-01-02,,,,,,,,
2021-01-03,,,,,,,,
2021-01-04,,,,,0.0,,,
2021-01-05,,,,,0.0,,,
2021-01-06,,,,,0.0,,,
2021-01-07,,,,,0.0,,,
2021-01-08,,,,,0.0,,,
2021-01-09,,,,,0.0,,,
2021-01-10,,,,,0.07,,,2.53
2021-01-11,,,,,0.29,,,2.53
2021-01-12,,,,,0.7,,,2.53
2021-01-13,,,0.01,,1.36,,,2.53
2021-01-14,,,0.03,,2.15,,,2.53
2021-01-15,,,0.04,,2.57,,,2.53
2021-01-16,,,0.04,,2.87,,,2.53
2021-01-17,,,0.04,,3.84,,,2.53
2021-01-18,,,0.04,,5.23,,,2.53
2021-01-19,,,0.04,,6.82,,,2.53
2021-01-20,,,0.04,,8.47,,,2.53
2021-01-21,,,0.04,,10.37,,,2.53
2021-01-22,,,0.04,,11.19,,,2.53
2021-01-23,,,0.04,,11.8,,,2.53
2021-01-24,,,0.04,,13.42,,,2.53
2021-01-25,,,0.05,,15.03,,,2.53
2021-01-26,,,0.05,,16.49,,,2.53
2021-01-27,,,0.05,,17.93,,,2.53
2021-01-28,,,0.05,,19.43,,,2.53
2021-01-29,,,0.05,,20.18,,,2.53
2021-01-30,,,0.05,,20.67,,,2.53
2021-01-31,,,0.05,1.19,21.36,,,2.53
2021-02-01,,,0.05,3.93,21.76,,,2.53
2021-02-02,,,0.05,6.89,22.12,,,2.53
2021-02-03,,,0.05,8.94,22.71,,0.01,2.53
2021-02-04,,4.86,0.07,11.7,23.38,,0.01,2.53
2021-02-05,,4.86,0.07,14.47,23.71,,0.01,2.53
2021-02-06,2.55,4.86,0.07,16.54,23.97,,1.61,2.53
2021-02-07,2.55,4.86,0.07,16.54,24.76,,1.61,2.53
2021-02-08,2.55,4.86,0.13,18.22,25.51,,4.05,2.53
2021-02-09,2.57,7.26,0.23,19.94,26.29,,6.81,2.53
2021-02-10,2.57,7.87,0.28,20.0,27.12,,10.51,2.53
2021-02-11,2.57,7.87,0.29,22.76,27.94,,14.1,2.53
2021-02-12,2.57,9.69,0.29,25.51,28.37,,14.1,2.53
2021-02-13,2.57,9.69,0.29,28.26,28.72,,14.42,2.53
2021-02-14,2.57,9.69,0.29,29.84,29.52,,14.42,2.53
2021-02-15,2.57,9.69,0.29,30.41,30.39,,16.72,2.53
2021-02-16,2.57,9.69,0.29,31.97,31.29,,18.48,2.53
2021-02-17,2.57,10.56,0.29,33.55,32.16,,19.84,2.53
2021-02-18,2.57,10.56,0.29,35.78,33.08,,21.01,2.53
2021-02-19,2.57,10.66,0.29,37.32,33.52,,21.96,2.53
2021-02-20,2.57,11.62,0.29,37.32,33.85,,21.96,2.53
2021-02-21,2.57,11.62,0.29,37.42,34.75,,21.96,2.53
2021-02-22,7.66,11.62,0.29,37.78,35.68,,21.96,2.53
2021-02-23,7.66,11.71,0.29,38.13,36.49,,23.77,22.12
2021-02-24,7.66,11.8,0.29,38.37,37.21,,23.77,22.12
2021-02-25,7.66,11.8,0.29,38.61,37.96,,23.92,22.12
2021-02-26,7.66,11.8,0.29,39.11,38.33,,23.92,22.12
2021-02-27,11.31,11.8,0.29,39.45,38.57,,23.95,22.12
2021-02-28,11.31,11.8,0.29,39.45,39.21,,23.95,22.12
2021-03-01,11.31,11.8,0.3,39.45,39.92,,24.64,22.12
2021-03-02,11.31,11.8,0.36,40.68,40.66,,24.64,22.12
2021-03-03,13.88,11.8,1.17,41.85,41.43,,25.02,22.12
2021-03-04,13.88,11.8,2.03,44.59,42.34,18.25,25.04,22.12
2021-03-05,13.88,13.51,2.88,44.98,42.8,18.25,25.04,22.12
2021-03-06,13.88,13.51,3.0,45.72,43.1,18.25,25.04,22.12
2021-03-07,13.88,13.51,3.04,46.22,43.93,18.25,25.04,22.12
2021-03-08,13.88,13.51,4.16,46.22,44.77,18.25,27.02,22.12
2021-03-09,13.88,13.51,5.4,46.92,45.66,18.25,27.02,22.12
2021-03-10,16.59,13.51,6.78,47.38,46.33,18.25,27.35,22.12
2021-03-11,16.59,13.51,8.06,47.38,47.13,18.25,27.49,22.12
2021-03-12,16.59,15.39,9.23,49.02,47.6,18.25,27.49,22.12
2021-03-13,16.59,15.39,9.36,49.05,47.89,18.25,27.49,22.12
2021-03-14,16.59,15.39,9.38,49.05,48.75,18.25,27.49,22.12
2021-03-15,18.75,15.39,10.81,52.18,49.65,18.25,27.91,22.12
2021-03-16,18.75,17.72,12.08,55.29,50.47,18.25,27.91,22.12
2021-03-17,18.75,17.72,13.21,58.11,51.15,18.25,27.91,22.12
2021-03-18,18.75,18.79,14.18,59.8,51.82,18.25,28.16,22.12
2021-03-19,18.75,19.51,14.99,63.07,52.14,21.23,28.16,22.12
2021-03-20,18.75,19.51,15.04,66.17,52.31,21.23,28.16,22.12
2021-03-21,18.75,19.51,15.05,68.42,52.78,21.23,28.16,22.12
2021-03-22,21.12,20.61,15.69,68.42,53.22,21.23,28.16,22.12
2021-03-23,21.12,20.61,16.16,70.32,53.31,21.23,31.9,22.12
2021-03-24,21.12,22.48,16.5,72.29,53.84,21.23,33.95,22.12
2021-03-25,21.12,23.52,16.79,74.82,54.24,21.23,33.95,22.12
2021-03-26,21.12,23.52,17.05,76.39,54.39,21.23,33.95,22.12
2021-03-27,24.68,23.52,17.06,79.26,54.44,21.23,33.95,22.12
2021-03-28,24.68,23.52,17.07,82.11,54.49,21.23,33.95,22.12
2021-03-29,24.68,27.33,17.67,82.97,54.82,21.23,33.95,22.12
2021-03-30,24.68,27.33,18.42,82.97,55.08,21.23,37.49,22.12
2021-03-31,24.68,29.04,19.22,84.57,55.3,21.23,37.49,22.12
2021-04-01,24.68,30.67,20.08,83.87,55.51,21.23,38.6,22.12
2021-04-02,24.68,30.67,20.11,84.93,55.51,21.23,38.6,22.12
